"folder","title","callout","reference","body","abnormal"
"Memory Items","TAWS Warnings","PULL UP TOGA","Refer to Vol II - ABN - SURV - TAWS WARNINGS","• AP — OFF
• PITCH — PULL UP
• THRUST LEVERS — TOGA
• SPEED BRAKE LEVER — CHECK RETRACTED
• BANK — WINGS LEVEL or ADJUST
• DO NOT CHANGE CONFIGURATION (SLATS/FLAP, GEAR) UNTIL CLEAR OF OBSTACLE","true"
"Memory Items","Loss of Braking","LOSS OF BRAKING","Refer to Vol II - ABN - BRAKES - LOSS OF BRAKING","• REV — MAX
• BRAKE PEDALS — RELEASE
• A/SKID OFF — ORDER
• A/SKID & N/W STRG — OFF
• BRAKE PEDALS — PRESS
• MAX BRK PRESS — 1000 PSI

If still no braking:
• PARK BRAKE — SHORT SUCCESSIVE APPLICATIONS","true"
"Memory Items","Emergency Descent","EMERGENCY DESCENT","Refer to Vol II - ABN - MISC - EMERGENCY DESCENT","• CREW OXY MASKS — USE
• SIGNS — ON
• EMER DESCENT — INITIATE

If A/THR is not active:
  • THR LEVERS — IDLE

• SPD BRK — FULL","true"
"Memory Items","Stall Recovery","STALL, I HAVE CONTROL","Refer to Vol II - ABN - MISC - STALL RECOVERY","• NOSE DOWN PITCH CONTROL — APPLY
• BANK — WINGS LEVEL

When out of Stall (no longer stall indications):
• THRUST — INCREASE SMOOTHLY AS NEEDED
• SPEEDBRAKES — CHECK RETRACTED
• FLIGHT PATH — RECOVER SMOOTHLY

If in clean configuration and below 20,000 feet:
• FLAP 1 — SELECT","true"
"Memory Items","Stall Warning at Lift-Off","STALL, TOGA 15 DEGREES","Refer to Vol II - ABN - MISC - STALL WARNING AT LIFTOFF","• THRUST — TOGA

At the same time:
• PITCH ATTITUDE — 15°
• BANK — WINGS LEVEL","true"
"Memory Items","TCAS Warnings – Resolution Advisory","TCAS BLUE","Refer to Vol II - ABN - SURV - TCAS WARNINGS - RESOLUTION ADVISORY","""TCAS BLUE"" (AP/FD TCAS Installed)
• If the AP is OFF
  - FD ORDERS — FOLLOW
  - The AP can be engaged
• VERTICAL SPEED — MONITOR

""TCAS, I HAVE CONTROL"" (NO TCAS FMA)
• AP (if engaged) — OFF
• BOTH FD's — OFF
  - Respond promptly and smoothly
• VERTICAL SPEED — ADJUST OR MAINTAIN
  - Adjust or maintain the vertical speed as required to reach the green area and/or avoid the red area of the vertical speed scale","true"
"Memory Items","Unreliable Speed Indication","UNRELIABLE AIRSPEED","Refer to Vol II - ABN - NAV - [MEM] UNRELIABLE SPEED INDICATION","If the safe conduct of flight is impacted:
• AP/FD — OFF
• A/THR — OFF
• THRUST/PITCH
  - Below THR RED ALT — 15°/TOGA
  - Above THR RED ALT & below FL100 — 10°/CL
  - Above THR RED ALT & above FL100 — 5°/CL
• FLAPS — MAINTAIN CURRENT CONFIG
• FLAPS (IF CONF FULL) — SELECT 3 AND MAINTAIN
• SPEEDBRAKES — CHECK RETRACTED
• L/G — UP
• When at or above MSA or Circuit Altitude: Level off for troubleshooting","true"
"Memory Items","Windshear – Reactive","WINDSHEAR TOGA","Refer to Vol II - ABN - SURV - [MEM] WINDSHEAR WARNING - REACTIVE WINDSHEAR","At Takeoff - Before V1:
• If significant variations in airspeed and trend below indicated V1, REJECT THE TAKEOFF

At Takeoff - After V1:
• THR LEVERS — TOGA
• REACHING Vʀ — ROTATE
• SRS ORDERS — FOLLOW
  - This includes full back stick if demanded.

Airborne, initial climb or landing:
• THR LEVERS AT TOGA — SET OR CONFIRM
• AP (if engaged) — KEEP ON
• SRS ORDERS — FOLLOW
• DO NOT CHANGE CONFIGURATION (SLATS/FLAPS, GEAR) UNTIL OUT OF WINDSHEAR
• CAREFULLY MONITOR FLIGHT PATH AND SPEED
• WHEN OUT, SMOOTHLY RECOVER NORMAL CLIMB","true"
"Memory Items","Stabilized Approach Criteria","STABILIZED APPROACH","Refer to Vol II - OPERATING LIMITATIONS","By 1000 ft AFE:
• Rate of descent not to exceed 1,200 FPM
• On correct lateral path (""Course"") — ± one dot for ILS/LOC, 0.30 NM cross track for RNAV, or 1/2 dot for VOR*
• On correct vertical path (""Glidepath"") — ± one dot*
• In final landing configuration — Landing Gear and Flaps Extended, Speed Brakes Retracted
• Absent any GPWS Warnings and Cautions

By 500 ft AFE (all of the above, plus):
• Landing Checklist Completed
• Rate of descent not to exceed 1,000 FPM
• Within -5 to +15 knots of target speed for approach
• Thrust stabilized, usually above idle, commensurate with what is required to maintain the target speed criteria","true"
"Sample Limitations","Max Tire Speed","","FCOM - LIMITATIONS","195 kts ground speed","false"
"Sample Limitations","Max Tailwind for Takeoff","","FCOM - LIMITATIONS","15 kts","false"
"Sample Limitations","Max Crosswind for Landing","","FCOM - LIMITATIONS","Dry: 38 kts
Wet: 29 kts
Contaminated: 15 kts","false"
"Sample Lights & Switches","APU MASTER SW","","Overhead - APU","Push to power the APU electrical and fuel systems. Light is amber while starting, off when running.","false"
"Sample Lights & Switches","ENG MODE SEL","","Pedestal","Three positions: CRANK, NORM, IGN/START. NORM for normal operations.","false"
"Sample Lights & Switches","WIPER SELECTOR","","Overhead","OFF / SLOW / FAST. Use to clear precipitation from windshield.","false"
